"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"5113","GAPVD1","Severe","NonSevere",0.224877923413004,0.210425450364124,0.195065535851966,0.181295515523189,0.0144524730488802,0.245547093924907,0.514896050222445,1.16123315765313
"13523","TACC3","Severe","NonSevere",0.135954767411976,0.121502491376006,0.12053456694937,0.109237255653507,0.0144522760359702,0.132144522991182,0.370012343917724,1.50569875787146
"11518","RNF125","Severe","NonSevere",0.135183757388846,0.12073591414335,0.115651503469545,0.100421617477961,0.0144478432454961,0.153922774223851,0.396313675667273,1.42581145245375
"4593","FANCI","Severe","NonSevere",0.0454895913646877,0.0310463779225757,0.0398355178617322,0.0233806055960138,0.014443213442112,0.0151563415986558,0.0832931785756865,2.42862160134676
"10685","PRPS1","Severe","NonSevere",0.0642508352608584,0.0498275201226524,0.0603957851452069,0.0456113453430433,0.014423315138206,0.0220681207774414,0.110704455034449,2.28919335060203
"13224","SSU72","Severe","NonSevere",0.217938833204832,0.203526255270218,0.190439475713184,0.178229206592564,0.0144125779346132,0.232391171903259,0.499631688229842,1.19422191714872
"5217","GGA3","Severe","NonSevere",0.127473657157543,0.113070141816788,0.117707530197893,0.103104637792258,0.014403515340755,0.11271472435055,0.337478944136264,1.58610838831397
"15272","WDR3","Severe","NonSevere",0.0603957851452069,0.0459946339593714,0.0567977383705988,0.0371789957838252,0.0144011511858355,0.0277594147030417,0.129522428598395,2.20066970908032
"8260","MSL3","Severe","NonSevere",0.148547931123105,0.134151015714833,0.133898740683629,0.119202759678038,0.0143969154082713,0.152548242446005,0.396313675667273,1.43058830064928
"7780","MCM8","Severe","NonSevere",0.0354664610639938,0.0210808738980452,0.0318684142893858,0.0191644308164048,0.0143855871659486,0.00177771547168438,0.0151891752459601,3.12505544787441
"11100","RAF1","Severe","NonSevere",0.140837830891802,0.126485243388271,0.124903623747109,0.110770410118819,0.0143525875035302,0.148531309096576,0.396313675667273,1.44473865051748
"13935","TIPRL","Severe","NonSevere",0.0737599588794654,0.0594097355308547,0.0701619121048574,0.0559601379839019,0.0143502233486107,0.0308831061424428,0.140239537095501,2.15857561654904
"12168","SETD3","Severe","NonSevere",0.139295810845541,0.124952088922959,0.125160627088152,0.114220007665772,0.014343721922582,0.131549804825725,0.369557760035425,1.5080184508437
"5450","GPANK1","Severe","NonSevere",0.0496016448213827,0.0352625527021847,0.0475456180930352,0.0341126868532005,0.0143390921191979,0.00601903171223045,0.0405953306258202,2.74674279243246
"7245","LIMA1","Severe","NonSevere",0.0496016448213827,0.0352625527021847,0.0429195579542534,0.0310463779225757,0.0143390921191979,0.0130471790565918,0.0751891745845618,2.4824789110597
"11660","RPL35","Severe","NonSevere",1.04805962477512,1.03372939823687,0.569005397070162,0.573016481410502,0.0143302265382499,0.639845969154445,0.84018415448275,0.467914170882008
"11168","RASGRP2","Severe","NonSevere",0.179902338730403,0.165580682253737,0.157543048059625,0.143349942506708,0.0143216564766664,0.201077103969992,0.461738394038988,1.27848887768112
"5240","GID8","Severe","NonSevere",0.0886661526599846,0.0743579915676504,0.0827550758159856,0.0712916826370257,0.0143081610923341,0.0502262866222203,0.196458030488838,1.95803175527681
"7989","MITD1","Severe","NonSevere",0.0652788486250321,0.0509773859716366,0.0619378051914675,0.04829436565734,0.0143014626533955,0.0208807182591189,0.106129486605678,2.31013433160273
"2579","CIB1","Severe","NonSevere",0.193266512464662,0.17899578382522,0.165510151631971,0.159448064392488,0.0142707286394416,0.216114045274768,0.478961830851958,1.23692737687423
"15276","WDR36","Severe","NonSevere",0.0591107684399897,0.0448447681103871,0.0575687483937291,0.0436949022614028,0.0142660003296026,0.0123985006582586,0.0719170631042843,2.50059462355952
"14061","TMEM147","Severe","NonSevere",0.0786430223592907,0.06439248754312,0.0742739655615523,0.0620927558451514,0.0142505348161707,0.0354097132767819,0.15511097823402,2.1036417030155
"6991","KPNA1","Severe","NonSevere",0.0755589822667695,0.0613261786124952,0.0701619121048574,0.0574932924492143,0.0142328036542743,0.0370451238919881,0.159805640303229,2.08526641853937
"6770","KCTD7","Severe","NonSevere",0.0310974042662555,0.0168646991184362,0.029041377537908,0.0149482560367957,0.0142327051478193,0.000572046030868317,0.0059075033493106,3.44453336417558
