id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
RPS27A,-7.532815218,7.532815218,6.77E-14,6.77E-14,-3.700395398,3.700395398,2.412870922,2.527390589,-0.114519667,0.114519667
RPS27L,4.239952879,-4.239952879,2.31E-05,2.31E-05,2.03688984,-2.03688984,0.361196056,0.304978694,0.056217362,-0.056217362
RPS28,-1.992562613,1.992562613,0.046424219,0.046424219,-0.840279928,0.840279928,2.777310754,2.803402352,-0.026091597,0.026091597
RPS29,5.920095675,-5.920095675,3.65E-09,3.65E-09,2.892022469,-2.892022469,1.701266889,1.607383729,0.093883159,-0.093883159
RPS3,-4.961553675,4.961553675,7.44E-07,7.44E-07,-2.406373924,2.406373924,2.299340367,2.379454918,-0.080114551,0.080114551
RPS3A,-6.281637621,6.281637621,3.91E-10,3.91E-10,-3.074310848,3.074310848,2.156439039,2.259521335,-0.103082296,0.103082296
RPS4X,2.82145942,-2.82145942,0.004816785,0.004816785,1.294355863,-1.294355863,2.067543454,2.017624097,0.049919357,-0.049919357
RPS4Y1,-17.52654582,17.52654582,1.12E-64,1.12E-64,-8.470473006,8.470473006,0.411357313,0.737862765,-0.326505452,0.326505452
RPS4Y2,NA,NA,NA,NA,NA,NA,0,0,0,0
RPS5,-6.80886857,6.80886857,1.22E-11,1.22E-11,-3.338524648,3.338524648,1.571900536,1.699649187,-0.127748651,0.127748651
RPS6,-2.84035787,2.84035787,0.004539802,0.004539802,-1.304521109,1.304521109,1.911640817,1.956869727,-0.04522891,0.04522891
RPS6KA1,4.67191236,-4.67191236,3.13E-06,3.13E-06,2.258866013,-2.258866013,0.130404719,0.094050616,0.036354103,-0.036354103
RPS6KA2,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000134749,0,0.000134749,-0.000134749
