id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
CAPS2.TF,29,53,-34.03315658,34.03315658,2.45E-204,2.45E-204,-15.23965951,15.23965951,-0.26015049,-0.190097257,-0.070053233,0.070053233
CAPZA1.TF,8,13,26.47936358,-26.47936358,9.85E-140,9.85E-140,12.56841427,-12.56841427,1.655467705,1.176908151,0.478559554,-0.478559554
CAPZA2.TF,10,12,16.78930038,-16.78930038,2.72E-60,2.72E-60,8.168208442,-8.168208442,1.231146431,0.94718108,0.283965351,-0.283965351
CAPZB.TF,75,154,22.67203764,-22.67203764,4.31E-106,4.31E-106,10.92266473,-10.92266473,1.968688985,1.774408929,0.194280056,-0.194280056
CARD11.TF,4,48,170.8352812,-170.8352812,0.00E+00,0.00E+00,18.75968967,-18.75968967,2.471941713,-0.182892491,2.654834204,-2.654834204
CARD16.TF,10,15,-14.84063083,14.84063083,3.59E-48,3.59E-48,-7.267949195,7.267949195,1.924482588,2.188242122,-0.263759533,0.263759533
CARD17.TF,36,68,-39.23279809,39.23279809,2.53E-260,2.53E-260,-17.22330191,17.22330191,-0.250373857,-0.167636514,-0.082737343,0.082737343
CARD19.TF,5,23,64.71551625,-64.71551625,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.7657084,-0.011900442,0.777608843,-0.777608843
CARD6.TF,14,55,-37.17181126,37.17181126,5.77E-247,5.77E-247,-16.77131044,16.77131044,-0.254382211,-0.166680806,-0.087701404,0.087701404
CARD8-AS1.TF,31,47,-29.29540198,29.29540198,1.04E-159,1.04E-159,-13.45097678,13.45097678,-0.244036196,-0.17289036,-0.071145836,0.071145836
CARD8.TF,4,14,69.15123555,-69.15123555,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.099731876,0.054473417,1.045258459,-1.045258459
CARD9.TF,NA,58,NA,NA,NA,NA,NA,NA,NA,-0.192746056,NA,NA
CARF.TF,33,46,-26.79089324,26.79089324,7.56E-138,7.56E-138,-12.48189922,12.48189922,-0.241719625,-0.178147552,-0.063572073,0.063572073
CARHSP1.TF,4,9,83.7142019,-83.7142019,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.147670499,-0.107302935,1.254973434,-1.254973434
CARM1.TF,NA,43,NA,NA,NA,NA,NA,NA,NA,-0.164752361,NA,NA
CARMIL1.TF,31,52,-36.32911376,36.32911376,1.99E-226,1.99E-226,-16.05155768,16.05155768,-0.248879721,-0.162535148,-0.086344573,0.086344573
CARMIL2.TF,23,37,-25.52626705,25.52626705,1.29E-126,1.29E-126,-11.95363123,11.95363123,-0.257880409,-0.198119477,-0.059760932,0.059760932
CARMIL3.TF,25,53,-41.1535034,41.1535034,8.12E-271,8.12E-271,-17.57024466,17.57024466,-0.266244402,-0.175275901,-0.090968501,0.090968501
CARNMT1.TF,15,63,-33.96405139,33.96405139,2.64E-214,2.64E-214,-15.61121671,15.61121671,-0.250793656,-0.174354342,-0.076439314,0.076439314
CARNS1.TF,28,60,-32.66999353,32.66999353,8.06E-196,8.06E-196,-14.91482798,14.91482798,-0.24575296,-0.175573016,-0.070179944,0.070179944
CARS.TF,NA,62,NA,NA,NA,NA,NA,NA,NA,-0.168693912,NA,NA
CARS2.TF,5,25,53.70607887,-53.70607887,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.653457813,-0.050469077,0.703926891,-0.703926891
CASC1.TF,37,56,-41.64822321,41.64822321,3.02E-276,3.02E-276,-17.74710655,17.74710655,-0.256270272,-0.163913065,-0.092357207,0.092357207
CASC11.TF,25,60,-25.58780452,25.58780452,1.69E-130,1.69E-130,-12.13886006,12.13886006,-0.237233059,-0.181528008,-0.055705051,0.055705051
CASC3.TF,3,28,77.37133115,-77.37133115,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.054887165,-0.142798359,1.197685523,-1.197685523
CASC4.TF,2,37,66.38339784,-66.38339784,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.018528922,-0.172959155,1.191488077,-1.191488077
CASC8.TF,29,64,-39.64506542,39.64506542,1.89E-258,1.89E-258,-17.16067053,17.16067053,-0.268620062,-0.192181182,-0.07643888,0.07643888
CASD1.TF,27,54,-20.19885322,20.19885322,4.71E-85,4.71E-85,-9.753904666,9.753904666,-0.230920418,-0.186133237,-0.044787181,0.044787181
CASK.TF,38,40,-26.52261071,26.52261071,1.54E-133,1.54E-133,-12.28185994,12.28185994,-0.249114699,-0.186485023,-0.062629676,0.062629676
CASP1.TF,8,4,5.691423802,-5.691423802,1.44E-08,1.44E-08,2.774263368,-2.774263368,1.596679078,1.443684274,0.152994804,-0.152994804
CASP10.TF,13,40,-32.46689766,32.46689766,3.30E-192,3.30E-192,-14.77492969,14.77492969,-0.256647876,-0.170402132,-0.086245743,0.086245743
CASP2.TF,6,50,-43.2083102,43.2083102,5.97E-303,5.97E-303,-18.59248366,18.59248366,-0.270277366,-0.158682807,-0.111594559,0.111594559
