,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
MSR1,35.13689096,43.294829292,18.387470995,60.4136411599999,29.059405777,29.3735499030001,12.001100054,31.795823661
MYO9B,217.9890109,605.067934680001,86.62271058,765.63858689,346.58152177,123.09890107,656.74184772,204.59340651
NADK,1129.46153821,2419.60000009,237.84615382,1540.17142853001,1008.94285712,398.51923069,628.1428573,1499.9807692
NAMPT,633.492753622999,1782.72340421501,185.210144945,1262.40425522201,727.468085060001,284.550724643,518.978723383,912.492753623999
NCAM1,195.512544813,89.083547565,80.469534052,115.958868886,51.060411286,128.906810049,20.107969124,148.060931909
NCF2,345.417054252,379.826427771,133.812403095,417.805151181001,192.254199322,197.044961234,101.086226204,409.761240304
NCR1,40.268498938,44.0437100289999,22.883720934,65.2835820849999,29.3123667489999,32.748414376,12.072494653,40.991543327
NFATC1,33.27865152,41.678857163,17.948314521,59.5839999989999,26.830857154,27.539325708,11.819428565,30.539325692
NFATC3,76.863247876,71.67604268,33.57051282,106.368574185,45.110572266,59.066239328,20.247332695,58.275641035
NINJ1,1266.94,1550.37037065,277.06,986.685185500001,633.96296321,449.16,391.166666819999,1777.94
NMNAT1,33.5871741730001,37.495356069,18.7154307899999,50.585139371,25.004127976,27.386773441,10.470588221,35.4168334780002
NPM1,448.8085107,566.73088689,251.69503537,861.796636080001,379.17584092,326.56028372,182.206422,553.631205790001
OLR1,31.470046096,40.1014492490001,17.539170508,53.3888888680001,27.041062786,26.988479266,12.10386473,29.085253477
OSM,38.184269472,39.8177623890001,22.015730234,55.0668973539999,26.1510957459999,29.806741433,10.4844290789999,41.851685196
PADI2,372.786259567,276.53181818,97.1603053589998,208.872727263,103.895454551,141.786259567,75.4727272900001,507.870229019999
PLAT,35.227005867,37.6978494789999,19.6086105570001,51.1763441280001,25.118279579,29.4540117480002,10.853763441,34.2720156530001
PPCDC,35.452025588,43.9557031919999,18.223880609,60.9213731809999,29.583610182,28.411513859,14.102990025,32.300639646
PPP1R12A,172.98736171,533.66422027,83.3349130899999,721.63119268,295.93577988,125.84676152,483.66422032,135.70616118
PRDX5,385.390977491,287.514344256,101.736842152,340.905737711,202.200819664,166.022556458,74.084016388,530.684210489
